grocery | Surf Excel Easy Wash Detergent Powder - 5 Kg | ₹607 | https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDg1OTkxODM2NzE2MDk5OjE3NzQ0MTM4NzI6c3BfYXRmOjIwMDI4NDU3NzEwNzk4OjowOjo&url=%2FSurf-Excel-Easy-Detergent-Powder%2Fdp%2FB09C3VGV8G%2Fref%3Dsr_1_1_in_f3_0o_fs_sspa%3Fdib%3DeyJ2IjoiMSJ9.mBt0sBRI3ioWmAW8yopK-WXU14bhWT86qujmvtBZtvTdWyKVOzLY7vP3PLlgwRtYLesvDkYdVJT0sTXZNm6u38oHYQBfh6P1NiPQmp-Zq0rMWkNeSKzGgaue_Yeh_pb2dJxlg2wMI98CSICm3_8s7yabUtHeJWDSPS7Zx6HFXG1aPGQu9MJuU4RDAeihFCGrDaFvwo2NRR8Ku8V3itaMgbbLJAT1mHNYcnXI9VhcmmWbI-nZUMK-GtoPG9Re9a9qCHGc1ygtkpqbo9jT_MQ7zG1vyu09O76WG6E8--RzpOw.TWtTODdopVXUNMu_s_PlV2EUVXBJrmuOj41uXrNLJ6A%26dib_tag%3Dse%26keywords%3Dgrocery%26qid%3D1774413872%26sr%3D8-1-spons%26aref%3DbmdTJKQqgT%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=bmdTJKQqgT&sp_cr=ZAZ
grocery | Amazon Brand - Vedaka Raw Peanuts, Pink, 1kg | ₹241 | https://www.amazon.in/Amazon-Brand-Vedaka-Peanuts-Pink/dp/B07KXGFGSS
grocery | Tata Sampann Unpolished Moong Dal (Split), 1Kg | ₹174 | https://www.amazon.in/Tata-Sampann-Moong-Dal-1kg/dp/B075335G7N
grocery | India Gate Basmati Rice Everyday 5 kg | ₹339 | https://www.amazon.in/India-Gate-Basmati-Rice-Everyday/dp/B0BBF1FT93
grocery | Aashirvaad Shudh Chakki Atta, 5kg Pack, 100% Whole Wheat Flour, 0% Maida | ₹213 | https://www.amazon.in/Aashirvaad-11-Shudh-Chakki-Atta/dp/B007GGTLEC
grocery | Aashirvaad Salt,with 4-Step advantage, 1kg | ₹20 | https://www.amazon.in/Aashirvaad-Salt-Iodised-1kg-Bag/dp/B00PCCMDGA
grocery | Tata Tea Gold 1kg, Premium Assam Teas With Gently Rolled Aromatic Long Loose Leaves, Rich & Aromatic Chai, Black Tea | ₹583 | https://www.amazon.in/Assam-Gently-Rolled-Aromatic-Leaves/dp/B00GLDJ9WA
grocery | MAGGI 2-Minute Instant Noodles, Favourite Masala Taste, Masala Noodles With Goodness Of Iron, Made With Choicest Quality Spices, 840/900g Pouch (Pack of 12, 70/75g each) (weight may vary) | ₹159 | https://www.amazon.in/MAGGI-2-minute-Goodness-Choicest-Favourite/dp/B07B4KQRZG
grocery | Quaker Oats - 1 kg | ₹164 | https://www.amazon.in/Quaker-Oats-Pouch-1kg/dp/B00QPS8BAW
grocery | Exo Dishwash Bar, 360gm (90gm X (3 + 1 Bar Free) | Complete Dishwashing Solution With Anti-Bacterial Efficacy & Goodness of Ginger Remove Tough Grime Stains | Experience Hygienic & Superior Cleaning | ₹30 | https://www.amazon.in/Exo-Dishwash-Goodness-Bacteria-Sanitizes/dp/B078HC9V8B
grocery | Fabeato Whole Green Cardamom - 8mm Bold | Premium Elaichi | No Artificial Colors | Antioxidant-Rich Spice for Tea & Cooking | Supports Heart Health and Immunity, 50 gram | ₹299 | https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDg1OTkxODM2NzE2MDk5OjE3NzQ0MTM4NzI6c3BfbXRmOjMwMDg1ODYwMzE3MDAzMjo6MDo6&url=%2FFabeato-Whole-Green-Cardamom-Antioxidant-Rich%2Fdp%2FB0DP9P6TZ2%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.mBt0sBRI3ioWmAW8yopK-WXU14bhWT86qujmvtBZtvTdWyKVOzLY7vP3PLlgwRtYLesvDkYdVJT0sTXZNm6u38oHYQBfh6P1NiPQmp-Zq0rMWkNeSKzGgaue_Yeh_pb2dJxlg2wMI98CSICm3_8s7yabUtHeJWDSPS7Zx6HFXG1aPGQu9MJuU4RDAeihFCGrDaFvwo2NRR8Ku8V3itaMgbbLJAT1mHNYcnXI9VhcmmWbI-nZUMK-GtoPG9Re9a9qCHGc1ygtkpqbo9jT_MQ7zG1vyu09O76WG6E8--RzpOw.TWtTODdopVXUNMu_s_PlV2EUVXBJrmuOj41uXrNLJ6A%26dib_tag%3Dse%26keywords%3Dgrocery%26qid%3D1774413872%26sr%3D8-21-spons%26aref%3DwULMPO3XrL%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=wULMPO3XrL&sp_cr=ZAZ
grocery | Pushp Dry Ginger Powder (50g) (Pack of 1) | ₹46 | https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDg1OTkxODM2NzE2MDk5OjE3NzQ0MTM4NzI6c3BfbXRmOjMwMDk4MDM0MzI1NTczMjo6MDo6&url=%2FPushp-Dry-Ginger-Powder-50g%2Fdp%2FB07XGL5PKX%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.mBt0sBRI3ioWmAW8yopK-WXU14bhWT86qujmvtBZtvTdWyKVOzLY7vP3PLlgwRtYLesvDkYdVJT0sTXZNm6u38oHYQBfh6P1NiPQmp-Zq0rMWkNeSKzGgaue_Yeh_pb2dJxlg2wMI98CSICm3_8s7yabUtHeJWDSPS7Zx6HFXG1aPGQu9MJuU4RDAeihFCGrDaFvwo2NRR8Ku8V3itaMgbbLJAT1mHNYcnXI9VhcmmWbI-nZUMK-GtoPG9Re9a9qCHGc1ygtkpqbo9jT_MQ7zG1vyu09O76WG6E8--RzpOw.TWtTODdopVXUNMu_s_PlV2EUVXBJrmuOj41uXrNLJ6A%26dib_tag%3Dse%26keywords%3Dgrocery%26qid%3D1774413872%26sr%3D8-22-spons%26aref%3Dfowh002Y9j%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=fowh002Y9j&sp_cr=ZAZ
grocery | Swee10 Natural Stevia Sweetener | Sugar Free | Non-GMO | Zero Calorie Sugar Substitute| keto & Diabetic Friendly, Low Glycemic| 60 Sachet of 1g (Pack of 1) | ₹179 | https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDg1OTkxODM2NzE2MDk5OjE3NzQ0MTM4NzI6c3BfbXRmOjMwMDMwNzY0NTUzNTIzMjo6MDo6&url=%2FSwee10-Calorie-Table-Sweetener-sachets%2Fdp%2FB06WWJM6BR%2Fref%3Dsr_1_23_sspa%3Fdib%3DeyJ2IjoiMSJ9.mBt0sBRI3ioWmAW8yopK-WXU14bhWT86qujmvtBZtvTdWyKVOzLY7vP3PLlgwRtYLesvDkYdVJT0sTXZNm6u38oHYQBfh6P1NiPQmp-Zq0rMWkNeSKzGgaue_Yeh_pb2dJxlg2wMI98CSICm3_8s7yabUtHeJWDSPS7Zx6HFXG1aPGQu9MJuU4RDAeihFCGrDaFvwo2NRR8Ku8V3itaMgbbLJAT1mHNYcnXI9VhcmmWbI-nZUMK-GtoPG9Re9a9qCHGc1ygtkpqbo9jT_MQ7zG1vyu09O76WG6E8--RzpOw.TWtTODdopVXUNMu_s_PlV2EUVXBJrmuOj41uXrNLJ6A%26dib_tag%3Dse%26keywords%3Dgrocery%26qid%3D1774413872%26sr%3D8-23-spons%26aref%3Dp5LPy0alQG%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=p5LPy0alQG&sp_cr=ZAZ
grocery | Pushp Whole Jeera | 1kg Pouch | Premium Cumin Seeds | Aromatic & Flavorful | Ideal for Cooking, Tadka, Seasoning (Pack of 1) | ₹399 | https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNDg1OTkxODM2NzE2MDk5OjE3NzQ0MTM4NzI6c3BfbXRmOjMwMDk4MTM1NzIxNzQzMjo6MDo6&url=%2FPushp-Premium-Aromatic-Flavorful-Seasoning%2Fdp%2FB0FFHF9WW6%2Fref%3Dsr_1_24_sspa%3Fdib%3DeyJ2IjoiMSJ9.mBt0sBRI3ioWmAW8yopK-WXU14bhWT86qujmvtBZtvTdWyKVOzLY7vP3PLlgwRtYLesvDkYdVJT0sTXZNm6u38oHYQBfh6P1NiPQmp-Zq0rMWkNeSKzGgaue_Yeh_pb2dJxlg2wMI98CSICm3_8s7yabUtHeJWDSPS7Zx6HFXG1aPGQu9MJuU4RDAeihFCGrDaFvwo2NRR8Ku8V3itaMgbbLJAT1mHNYcnXI9VhcmmWbI-nZUMK-GtoPG9Re9a9qCHGc1ygtkpqbo9jT_MQ7zG1vyu09O76WG6E8--RzpOw.TWtTODdopVXUNMu_s_PlV2EUVXBJrmuOj41uXrNLJ6A%26dib_tag%3Dse%26keywords%3Dgrocery%26qid%3D1774413872%26sr%3D8-24-spons%26aref%3DHQLBwgGYAg%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=HQLBwgGYAg&sp_cr=ZAZ
grocery | Kellogg's Muesli Fruit Nut & Seeds | 12 In 1 Power Breakfast | No Maida No Palm Oil | India's No 1 Muesli | 750g | Super Saver Pack with Ziplock | ₹349 | https://www.amazon.in/Kelloggs-Muesli-21-Fruit-Pouch/dp/B083JP2NZX
shoes | Bacca Bucci | ₹1,494 | https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzQ3MzI4ODQwOTczMTQyOjE3NzQ0MTM5MTE6c3BfYXRmOjMwMDc0NDU5NDUwNjAzMjo6MDo6&url=%2FBacca-Bucci-Balancer-Basketball-Shoes-White%2Fdp%2FB09W37ZHGV%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.OAf7ctIZdnPoM2WJFWgJrLPzojC-52FH-fAl8ho0dDrdwr9nPPBCw9jTrJwTWIr8L5buB7IXAkwR_Sl6D8ROMltNsdugk90BJmevzuZYRs-E9FtboKE9Qzo4ITRB1MDZwkZUWW7-5Gxk7ceIcMLJSVV39Q97UP0mb6uruhJCIcV2BRnSRSlj4taQqCxgSW1QkMubML6CwkrdFJu4jrIUqprzd9Jw1OE0ZlKqKONpaqBvUR5tGcXv3r4IcQxMteGtxMS8JMarlnf2Zfi2cGMTjTa0VqT3pBqyh1KtM2IjDy4.NqPdYkjdgCui0G7zjyd4sYL5MWaGBl-lVqecEe9Fw7M%26dib_tag%3Dse%26keywords%3Dshoes%26qid%3D1774413911%26sr%3D8-1-spons%26aref%3D47qyG0WTij%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=47qyG0WTij&sp_cr=ZAZ
shoes | Bacca Bucci | ₹1,194 | https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzQ3MzI4ODQwOTczMTQyOjE3NzQ0MTM5MTE6c3BfYXRmOjMwMDc0NDU5NDUwNTgzMjo6MDo6&url=%2FBacca-Afterburn-Disruptor-Multiple-Sneakers-White%2Fdp%2FB07S7MTB5G%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.OAf7ctIZdnPoM2WJFWgJrLPzojC-52FH-fAl8ho0dDrdwr9nPPBCw9jTrJwTWIr8L5buB7IXAkwR_Sl6D8ROMltNsdugk90BJmevzuZYRs-E9FtboKE9Qzo4ITRB1MDZwkZUWW7-5Gxk7ceIcMLJSVV39Q97UP0mb6uruhJCIcV2BRnSRSlj4taQqCxgSW1QkMubML6CwkrdFJu4jrIUqprzd9Jw1OE0ZlKqKONpaqBvUR5tGcXv3r4IcQxMteGtxMS8JMarlnf2Zfi2cGMTjTa0VqT3pBqyh1KtM2IjDy4.NqPdYkjdgCui0G7zjyd4sYL5MWaGBl-lVqecEe9Fw7M%26dib_tag%3Dse%26keywords%3Dshoes%26qid%3D1774413911%26sr%3D8-2-spons%26aref%3DD2EMbrp7uz%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=D2EMbrp7uz&sp_cr=ZAZ
shoes | Bacca Bucci | ₹1,114 | https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzQ3MzI4ODQwOTczMTQyOjE3NzQ0MTM5MTE6c3BfYXRmOjMwMDc0NDU5NDUwNTczMjo6MDo6&url=%2FBacca-Bucci-Essential-Everyday-Purpose%2Fdp%2FB0C3XXCJ49%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.OAf7ctIZdnPoM2WJFWgJrLPzojC-52FH-fAl8ho0dDrdwr9nPPBCw9jTrJwTWIr8L5buB7IXAkwR_Sl6D8ROMltNsdugk90BJmevzuZYRs-E9FtboKE9Qzo4ITRB1MDZwkZUWW7-5Gxk7ceIcMLJSVV39Q97UP0mb6uruhJCIcV2BRnSRSlj4taQqCxgSW1QkMubML6CwkrdFJu4jrIUqprzd9Jw1OE0ZlKqKONpaqBvUR5tGcXv3r4IcQxMteGtxMS8JMarlnf2Zfi2cGMTjTa0VqT3pBqyh1KtM2IjDy4.NqPdYkjdgCui0G7zjyd4sYL5MWaGBl-lVqecEe9Fw7M%26dib_tag%3Dse%26keywords%3Dshoes%26qid%3D1774413911%26sr%3D8-3-spons%26aref%3DQoZ2pbkaNS%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=QoZ2pbkaNS&sp_cr=ZAZ
shoes | Bacca Bucci | ₹1,499 | https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzQ3MzI4ODQwOTczMTQyOjE3NzQ0MTM5MTE6c3BfYXRmOjMwMDc2MTI4NTYwNDMzMjo6MDo6&url=%2FBacca-Everyday-Training-Abrasion-Sockliner%2Fdp%2FB0BSHDKXZQ%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.OAf7ctIZdnPoM2WJFWgJrLPzojC-52FH-fAl8ho0dDrdwr9nPPBCw9jTrJwTWIr8L5buB7IXAkwR_Sl6D8ROMltNsdugk90BJmevzuZYRs-E9FtboKE9Qzo4ITRB1MDZwkZUWW7-5Gxk7ceIcMLJSVV39Q97UP0mb6uruhJCIcV2BRnSRSlj4taQqCxgSW1QkMubML6CwkrdFJu4jrIUqprzd9Jw1OE0ZlKqKONpaqBvUR5tGcXv3r4IcQxMteGtxMS8JMarlnf2Zfi2cGMTjTa0VqT3pBqyh1KtM2IjDy4.NqPdYkjdgCui0G7zjyd4sYL5MWaGBl-lVqecEe9Fw7M%26dib_tag%3Dse%26keywords%3Dshoes%26qid%3D1774413911%26sr%3D8-4-spons%26aref%3DTZiJhpQBbK%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=TZiJhpQBbK&sp_cr=ZAZ
shoes | BRUTON | ₹402 | https://www.amazon.in/BRUTON-Sport-Shoes-Running-White/dp/B0F4KTYFF7
shoes | ASIAN | ₹838 | https://www.amazon.in/ASIAN-MEXICO-11-Synthetic-Lightweight-Comfortable/dp/B0DBD4JYKK
shoes | PUMA | ₹1,549 | https://www.amazon.in/Puma-Dazzler-Black-Puma-Silver-Sneaker/dp/B09RGJCVW6
shoes | Lance Kawas | ₹119 | https://www.amazon.in/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.fcbb0e32-9d86-7ede-b946-595dba6d4b7e%26ref_%3Ddvm_src_ret_in_xx_s&page-type-id=B0DCFSPZ33&ref=sr_1_8&keywords=shoes&dib_tag=se&dib=eyJ2IjoiMSJ9.OAf7ctIZdnPoM2WJFWgJrLPzojC-52FH-fAl8ho0dDrdwr9nPPBCw9jTrJwTWIr8L5buB7IXAkwR_Sl6D8ROMltNsdugk90BJmevzuZYRs-E9FtboKE9Qzo4ITRB1MDZwkZUWW7-5Gxk7ceIcMLJSVV39Q97UP0mb6uruhJCIcV2BRnSRSlj4taQqCxgSW1QkMubML6CwkrdFJu4jrIUqprzd9Jw1OE0ZlKqKONpaqBvUR5tGcXv3r4IcQxMteGtxMS8JMarlnf2Zfi2cGMTjTa0VqT3pBqyh1KtM2IjDy4.NqPdYkjdgCui0G7zjyd4sYL5MWaGBl-lVqecEe9Fw7M&qid=1774413911&sr=8-8
shoes | AADI | ₹540 | https://www.amazon.in/AADI-Synthetic-Leather-Lightweight-Comfortable/dp/B0DJQWT3MK
shoes | U.S. Polo Assn. | ₹2,199 | https://www.amazon.in/Stefan-Stylish-Casual-Sneaker-Shoes/dp/B0B8T7RRZT
shoes | Campus | ₹1,199 | https://www.amazon.in/Campus-First-B-ORG-Running-Shoes/dp/B0914M88KG
shoes | Nike | ₹7,495 | https://www.amazon.in/Nike-AIR-MAX-Invigor-Print/dp/B00VDHV7Q0
shoes | Bata | ₹1,511 | https://www.amazon.in/Bata-Men-Casual-Derby-Shoes/dp/B09WYDRY36
shoes | Skechers | ₹2,731 | https://www.amazon.in/Skechers-Black-Mens-Casual-Shoes-232057ID-BBK-SUMMITS-Brisbane-UK8/dp/B09XXQ8Q46
shoes | ASICS | ₹16,998 | https://www.amazon.in/ASICS-Gel-Nimbus-Illuminate-Green-Running/dp/B0G2MG6ZDR
shoes | Bata | ₹679 | https://www.amazon.in/Bata-Men-Casual-Slip-Shoes/dp/B0B7JPSBVB
shoes | U.S. Polo Assn. | ₹2,377 | https://www.amazon.in/U-S-Polo-Assn-Stylish-Sneaker/dp/B0G1YLQ81T
shoes | Campus | ₹999 | https://www.amazon.in/Campus-Men-POD-Sneakers-WHT/dp/B0F4DFFCQM
shoes | Campus | ₹799 | https://www.amazon.in/Campus-Wells-Running-Shoes-10-UK/dp/B08VGP9PB7
shoes | Nike | ₹5,695 | https://www.amazon.in/Nike-Vision-Midnight-Navy-Gum-Basketball/dp/B0CS7D47FJ
shoes | Centrino | ₹499 | https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzQ3MzI4ODQwOTczMTQyOjE3NzQ0MTM5MTE6c3BfbXRmOjMwMDU0NTU4NDk0NDEzMjo6MDo6&url=%2FCentrino-Brown-Loafer-Shoe-8242-4%2Fdp%2FB0BC2152B4%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.OAf7ctIZdnPoM2WJFWgJrLPzojC-52FH-fAl8ho0dDrdwr9nPPBCw9jTrJwTWIr8L5buB7IXAkwR_Sl6D8ROMltNsdugk90BJmevzuZYRs-E9FtboKE9Qzo4ITRB1MDZwkZUWW7-5Gxk7ceIcMLJSVV39Q97UP0mb6uruhJCIcV2BRnSRSlj4taQqCxgSW1QkMubML6CwkrdFJu4jrIUqprzd9Jw1OE0ZlKqKONpaqBvUR5tGcXv3r4IcQxMteGtxMS8JMarlnf2Zfi2cGMTjTa0VqT3pBqyh1KtM2IjDy4.NqPdYkjdgCui0G7zjyd4sYL5MWaGBl-lVqecEe9Fw7M%26dib_tag%3Dse%26keywords%3Dshoes%26qid%3D1774413911%26sr%3D8-21-spons%26aref%3DsNgbs0hfPN%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=sNgbs0hfPN&sp_cr=ZAZ
shoes | Centrino | ₹549 | https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzQ3MzI4ODQwOTczMTQyOjE3NzQ0MTM5MTE6c3BfbXRmOjMwMDU0NjM1Mjg1MzAzMjo6MDo6&url=%2FCentrino-Cushioned-Stylish-Sneakers-6832-9%2Fdp%2FB0DGCSCTL8%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.OAf7ctIZdnPoM2WJFWgJrLPzojC-52FH-fAl8ho0dDrdwr9nPPBCw9jTrJwTWIr8L5buB7IXAkwR_Sl6D8ROMltNsdugk90BJmevzuZYRs-E9FtboKE9Qzo4ITRB1MDZwkZUWW7-5Gxk7ceIcMLJSVV39Q97UP0mb6uruhJCIcV2BRnSRSlj4taQqCxgSW1QkMubML6CwkrdFJu4jrIUqprzd9Jw1OE0ZlKqKONpaqBvUR5tGcXv3r4IcQxMteGtxMS8JMarlnf2Zfi2cGMTjTa0VqT3pBqyh1KtM2IjDy4.NqPdYkjdgCui0G7zjyd4sYL5MWaGBl-lVqecEe9Fw7M%26dib_tag%3Dse%26keywords%3Dshoes%26qid%3D1774413911%26sr%3D8-22-spons%26aref%3DbrYQ2O7SSl%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=brYQ2O7SSl&sp_cr=ZAZ
